episodes,total_rewards
199,190.301529543854
200,171.14953949135702
201,196.69901964873992
202,183.87122066248736
203,144.729340204949
204,193.12171671825212
205,173.9377485595551
206,157.54431680648614
207,212.60648352803827
208,154.7525331204289
209,161.13440051782675
210,186.69554247396167
211,144.76628850869574
212,144.7387980175549
213,209.59018352877825
214,180.34452239492353
215,190.2775493390895
216,190.26601789153202
217,171.11238193897623
218,183.86283632293052
219,183.91871463287603
220,157.5632697908894
221,144.7705380781262
222,196.16505066112452
223,144.75217829793226
224,196.71604972065978
225,183.3310755060196
226,161.12159094388895
227,193.25175859018498
228,171.10413483683138
229,171.10564989019926
230,196.7319141809208
231,177.50799456953166
232,144.7636481586559
233,209.66896674886058
234,157.49860802610536
235,171.1325994319761
236,151.11321810672266
237,151.0969339066781
238,176.82936075554076
239,171.16387925836472
240,171.10984327090608
241,173.9307614384002
242,163.89096491342315
243,164.73676495207738
244,171.1687051066119
245,161.14702998466902
246,183.92748024496353
247,190.37288084668853
248,216.00414407097023
249,206.10037204564412
250,151.10402515598258
251,161.06134459741395
252,167.53015171792237
253,196.7929265465076
254,171.11216668894457
255,144.74614409860993
256,196.7070390384376
257,186.7232973051228
258,157.50484399817782
259,209.54565620333625
260,183.94146209721634
261,189.6889073148142
262,163.8768060329384
263,144.77332258648357
264,186.7158307304627
265,189.57881684586877
266,161.13721846293365
267,161.13528573634608
268,183.88041195690468
269,171.06758770003995
270,154.71019425480694
271,154.7503321505207
272,173.93464819764813
273,167.5141992033097
274,167.479505054779
275,163.8862228269261
276,209.77023098852504
277,196.70605050800523
278,176.74714979510622
279,171.13479076821204
280,171.13695178136777
281,157.50085791945662
282,186.72597043533654
283,163.97038819206517
284,161.13755106161588
285,190.28082492233074
286,176.80800505559446
287,171.10871488014217
288,180.42009943527944
289,171.13494124090676
290,144.68553297841947
291,170.28644973441453
292,177.54589620108368
293,177.56699909528157
294,171.11144610783276
295,180.3824942604577
296,171.14343053388535
297,171.09093319900663
298,171.16229991625065
299,144.7582462428819
300,161.17541149586336
301,186.9050041978536
302,193.32958719190827
303,216.06188021793054
304,173.8870600893917
305,151.12096891736562
306,190.3132211171393
307,180.37841643987784
308,167.53159865316854
309,171.15741357872693
310,171.12275580266476
311,171.08861344920143
312,151.10116756003347
313,203.1456061457587
314,151.13386585629132
315,167.52132739419943
316,144.76230953123323
317,189.80402799523003
318,199.64506723414064
319,157.48381998168765
320,167.52680658909708
321,157.5720686844205
322,144.70332497741094
323,176.92890824997005
324,170.326476137084
325,154.71730373443978
326,167.48877459755087
327,177.46159611275084
328,154.74479733346777
329,144.768234015399
330,173.94478224064696
331,144.7666495274987
332,190.29685264950848
333,151.07844031044547
334,186.85261054031446
335,203.12704102022144
336,199.7754643135862
337,190.4580172471011
338,199.57661266404617
339,173.9108465180761
340,171.1466712602416
341,144.73606019464168
342,216.03599498320736
343,171.10686477258332
344,177.46078583110244
345,173.906468288062
346,176.82093549839232
347,190.32684393265674
348,176.86543321294147
349,171.15331850292068
350,144.76387871931928
351,186.73253601185726
352,157.53982327197318
353,209.7041041469531
354,151.0732780645863
355,176.78120772143757
356,203.210611437929
357,154.73867202274099
358,164.70309325026352
359,151.09784859554208
360,161.1315413908295
361,154.70723555047527
362,157.48369360605233
363,193.29663966649807
364,177.44982781859238
365,199.6238344106775
366,173.93832838623445
367,176.7777624868979
368,199.53646063660602
369,209.65465289467622
370,190.2824272691677
371,151.09259201459372
372,193.3353504871261
373,193.25601563029943
374,144.71424519926538
375,180.3530762422429
376,186.744969957439
377,171.13120660193192
378,171.1405767141886
379,167.5560031764731
380,176.82384180627213
381,209.55347446491842
382,163.9429473182163
383,164.75280673338617
384,176.87936162431453
385,144.7520220175913
386,161.1219540516705
387,144.72923435259008
388,161.0930207896403
389,180.27253083396562
390,157.46342759780438
391,161.09399087913613
392,144.7708371867838
393,161.09100455161763
394,171.14368296359228
395,161.1366992588878
396,183.3992773561807
397,151.07883167079603
398,151.09085775624212
399,186.9167199616587
400,203.19165110334984
401,176.79739285976538
402,154.74212667591414
403,144.692379334197
404,199.6129661436609
405,216.0572200269304
406,161.1318044184438
407,171.14507191595666
408,199.81670736113423
409,212.56540554491403
410,203.34660205682675
411,186.74415234636942
412,193.10160523093597
413,203.2161441585203
414,173.91622276049534
415,176.86576734061296
416,177.51000714687274
417,161.10817342897866
418,171.0962662921144
419,161.15127808058736
420,144.71447750118833
421,203.13097956590627
422,196.11889048107534
423,186.7553526611768
424,199.78688197357707
425,167.52756058861652
426,186.6965786416784
427,183.8523743334039
428,151.10488082573704
429,151.07126453880787
430,171.11976720750528
431,173.9389536146073
432,163.8906691351322
433,167.4680419480854
434,161.0965275788535
435,209.76447059786463
436,183.93667371438664
437,189.6224859974533
438,167.53015166218927
439,171.1254988357839
440,171.10637625111093
441,171.0978743080117
442,173.95194932198305
443,144.73571090324197
444,186.66436180097546
445,177.47477237025052
446,161.09772298319555
447,171.13672827569985
448,151.0939617750454
449,203.30713220215537
450,209.76547227410967
451,171.08016444612468
452,161.15011025528102
453,163.86875009252105
454,163.98465742165445
455,161.10103633342587
456,171.15284739441796
457,215.9984646147048
458,193.1740794611056
459,151.1236209257476
460,144.75979424771407
461,167.49831922255333
462,209.57919585002512
463,167.46968545717613
464,177.52196370664328
465,193.22905852753013
466,144.71664248842205
467,167.48619046318976
468,209.68670047739707
469,164.73295678469185
470,177.48580600024223
471,216.2321614685534
472,171.16356478735156
473,161.07230366791254
474,173.89017673708642
475,173.91804109914793
476,183.87977178756273
477,193.2563109263113
478,180.35476538313813
479,170.51074123709103
480,171.1593270641822
481,170.37700543853
482,157.51883161674226
483,157.46229465837266
484,161.11558115027552
485,189.6693492060214
486,180.3726177817593
487,161.10963751192517
488,196.69789635278062
489,222.41972605364725
490,177.5076429391462
491,176.73837364381026
492,183.87813022750345
493,186.8123006475593
494,161.09744847472265
495,171.14325194648185
496,161.08550864451783
497,171.11392427416527
498,196.06579522068847
499,176.91602957848968
500,196.71277258630275
501,171.14033987899342
502,171.08985042591354
503,144.7379401864743
504,151.11820331057268
505,177.5089013555704
506,173.95754504768036
507,209.55424097840847
508,157.51721709119346
509,180.32115218408933
510,196.77459492993955
511,203.08214732171606
512,144.7530581461236
513,171.14662654869997
514,161.0715260153711
515,167.52286372677145
516,164.73299688656826
517,203.2759263575977
518,151.11124216631424
519,151.08950918592978
520,154.68108111902782
521,180.2705317009206
522,186.75099201053393
523,183.92356576920804
524,161.10787241482984
525,163.88054555287766
526,144.6951927952543
527,190.36151622830806
528,154.74560701191214
529,171.15577453874567
530,176.9343927550368
531,196.82073229219088
532,209.68897115860938
533,167.49623655096045
534,177.46673602447612
535,151.13247999533783
536,183.86755447638953
537,196.74007887789563
538,167.4700969283338
539,171.13936316865568
540,170.41799507776375
541,161.17423497894964
542,163.89742135713092
543,163.93224596916775
544,154.72112652359263
545,151.12980537408097
546,171.15979357350523
547,190.27336336135653
548,183.32937898812844
549,183.8729561903517
550,177.4834746000235
551,193.21902087023327
552,171.09825234669114
553,154.70985341192056
554,171.15699797153474
555,171.11517553276093
556,209.52801382888018
557,209.69684569001373
558,177.47350528705556
559,151.09818744650923
560,180.35581024595695
561,171.12294455639545
562,196.81692029192837
563,196.73857591809838
564,203.2311279104605
565,171.1449061933297
566,171.09258252412042
567,161.102836787674
568,203.13497730165858
569,189.64474897542976
570,167.46901785874226
571,163.9584430068654
572,180.2840592011387
573,170.3350502249354
574,171.15216288229166
575,196.7585369871419
576,163.95420909154814
577,171.15819471771835
578,196.78886573823667
579,144.75466175473426
580,170.50350313856086
581,190.3465928273972
582,189.81334618040063
583,183.39395372862927
584,177.4798574711723
585,157.48637742720967
586,151.19929149615479
587,154.740828840775
588,167.50767376871784
589,196.8838407233128
590,222.67410350286116
591,164.05522337094013
592,171.1180369361849
593,203.1403344570864
594,196.69617373776305
595,151.13578828529938
596,190.26262389744883
597,151.14413327302623
598,193.1549188585562
599,176.79000300094748
600,144.73644372354138
601,144.74089382816737
602,180.27688511451626
603,170.32908151581034
604,216.05204487213695
605,212.5289334367444
606,189.79270302367718
607,151.13088586419693
608,164.69240007177362
609,171.0794483560653
610,151.13682897775422
611,157.50539489300226
612,183.88015818198528
613,171.11694939707354
614,157.54216034228068
615,161.1457426886936
616,209.62697861126085
617,154.72404574895535
618,157.486750256557
619,171.1104171392253
620,193.18066923630604
621,203.2018906269944
622,177.49485185645318
623,186.90875109452344
624,183.1709595227432
625,193.30236435504554
626,151.0883205356129
627,180.34007064784484
628,196.7407439963357
629,171.1568924655292
630,163.95462776461488
631,196.0724933250999
632,161.14497017378596
633,171.14769187737863
634,209.68407706497905
635,161.13906485129675
636,189.66522939607444
637,151.10144388567608
638,196.7508044074569
639,154.7033208711943
640,170.28278262757024
641,186.9162817937319
642,144.7498050149155
643,183.1952715846407
644,171.09098359543123
645,151.09797808931097
646,203.33924752815585
647,151.07739978516435
648,167.49392025499222
649,183.2784235941144
650,171.1135897133666
651,171.12932565522783
652,161.13729232083372
653,167.52476040640153
654,171.16399652002414
655,163.89974302033
656,176.77912211755682
657,138.33136506029166
658,177.48067765459598
659,196.73175538544058
660,164.0365928680163
661,163.96374697418887
662,171.11039049095692
663,180.29562716848653
664,161.14183045233148
665,189.67312870339694
666,173.92272785858103
667,183.30146545823828
668,144.69986774766897
669,157.49641721798363
670,183.89712144145597
671,203.22934459678083
672,151.166947257425
673,151.0986554377169
674,157.47683858835865
675,161.09801973367507
676,183.85123073494537
677,173.87313780999222
678,196.80944900125877
679,196.71773719740665
680,161.1363033114952
681,144.75901684059104
682,193.2380799345048
683,190.26756091830987
684,170.39671617909275
685,154.7084002901467
686,161.15086883453097
687,176.86785175808544
688,171.1157590924907
689,186.71349091256323
690,186.7267107949612
691,144.77140113180465
692,157.55025841692049
693,164.74728780248552
694,171.111978245106
695,183.86411868700532
696,176.87033216313228
697,164.72350044059374
698,177.49979096177603
699,193.33462720586726
700,144.74093154878932
701,144.77122900958403
702,212.68298308883527
703,176.89058106931617
704,193.3446837711235
705,161.11000812231867
706,144.70038666716982
707,171.1277112781527
708,163.9706807005076
709,167.49666269448312
710,167.5196286145407
711,154.73360643823162
712,171.14357023447724
713,180.29265849053363
714,183.27140221645118
715,144.73053388372674
716,161.1133271288909
717,157.54522653519746
718,190.32588726985279
719,154.74914679785556
720,144.7531071211383
721,183.87613072365122
722,171.10921076580547
723,190.4655528457661
724,186.8288597156734
725,144.76401307105556
726,144.74454157217377
727,170.39198721620625
728,203.21399767091916
729,151.14392969626516
730,193.05605944941135
731,570.1406014500326
732,574.0239372168071
733,570.3062295452249
734,573.7636336818674
735,572.2089341412878
736,567.1871011296811
737,570.5234413718134
738,167.53100591865683
739,171.13769899043984
740,157.535922324254
741,183.9301598409805
742,171.15736563248214
743,164.7012386865019
744,161.14078747868427
745,154.75074319589822
746,180.36116065977157
747,173.90014988176313
748,177.5248814478374
749,161.15765107692536
750,193.29927682996455
751,171.08540135486624
752,161.1346656358441
753,190.27335974361907
754,144.71843514861163
755,167.53696385383682
756,203.270728740712
757,177.5039383828092
758,203.31492712886003
759,151.13418288072944
760,171.06803113447702
761,183.18920223531612
762,157.54991554765962
763,161.1101221791036
764,154.75509933418118
765,167.49408246027582
766,177.5198915004942
767,180.35361841349118
768,173.93670827329413
769,190.29452380836725
770,183.25162851814156
771,183.8769578744416
772,171.11972597582815
773,151.14354607105344
774,144.7028793060401
775,196.6968626447017
776,163.91254878377504
777,216.14707137791777
778,186.78156161843276
779,199.7975847924617
780,171.0914023254859
781,193.34402753249194
782,199.75971623533303
783,151.11880462488188
784,171.1453778394349
785,186.9001390893402
786,167.48419031129
787,161.06403368303484
788,161.11042108205694
789,209.6026878964859
790,161.09219535989843
791,154.7370116544058
792,151.1309013375059
793,151.15638241677175
794,173.9839987358199
795,177.52788837276117
796,161.13694472755233
797,183.87660156622007
798,171.10230777020115
799,203.34051375152316
800,144.75307518013707
801,171.06639260056815
802,161.12716242749434
803,151.13235052947812
804,151.09955011869474
805,183.92222153354845
806,161.09693309396692
807,177.51822256102093
808,171.11698167176533
809,171.13695223112785
810,206.0706269185061
811,144.73667865859105
812,177.45652089294472
813,154.6994236648724
814,144.76976375093585
815,171.10980013686054
816,177.48401562428143
817,144.76972931851293
818,151.13239453616015
819,193.2537627087443
820,164.71526145583078
821,173.91053484002987
822,151.15008419736435
823,176.6975833335656
824,161.16006821806008
825,144.69781815487394
826,183.27927895947363
827,203.11884333303556
828,167.539425194594
829,161.07668040914191
830,180.4978692616429
831,170.36985381658252
832,186.81643439465884
833,161.09149179956955
834,177.5016064221188
835,173.8735390741222
836,193.3356068859916
837,161.0830579474521
838,151.09298921516304
839,171.12376483675388
840,173.8635115488379
841,167.51565579149187
842,173.93949344107185
843,163.91477524657438
844,199.62705062026123
845,193.1838963579102
846,167.511055771692
847,167.52260974014047
848,183.93913596653243
849,144.76730764011072
850,163.88077217357883
851,189.79196604442137
852,171.12744371908127
853,154.71626136237808
854,196.69459799722327
855,163.95777792585463
856,163.98850166494404
857,141.9584311036474
858,221.13070946763472
859,214.64830513680596
860,560.1464038156438
861,205.7962720523587
862,151.11500155501787
863,173.9366030427131
864,144.70229418499724
865,151.10244763311707
866,161.0698933701668
867,196.74195263407947
868,203.33489716752436
869,189.58459068745714
870,171.1184965381114
871,190.35843987154044
872,206.25025345217955
873,161.14037551973112
874,203.2936664738449
875,183.92713616025242
876,193.27015675703524
877,151.1455907624435
878,177.46933955654595
879,176.78072532483324
880,216.04266203029772
881,199.6217806547767
882,154.6910633832624
883,177.49971650811
884,144.73900214549516
885,180.29198300037703
886,163.90543645018892
887,203.28191588985084
888,151.09244148773905
889,151.0769395488892
890,144.761209068262
891,209.6030056143602
892,157.55563170845076
893,209.62257696860013
894,154.6939009388019
895,171.1208190481847
896,171.14002623982034
897,161.07229409406747
898,176.9143014010438
899,199.69489240301533
900,186.750110802476
901,170.30631809484953
902,189.6434021454835
903,177.49072542541995
904,157.47993238619753
905,163.91309350264424
906,171.10929296203798
907,196.7529640879134
908,171.06856588989507
909,151.139483146457
910,171.06780855549277
911,171.13815150123207
912,171.14967596436756
913,206.09213145352214
914,189.76051226226858
915,190.47962215912372
916,167.5286279906702
917,161.16903814390935
918,167.50871083364763
919,215.96806953919727
920,163.97522705054737
921,190.3975606872812
922,177.52187378543348
923,167.47190779173863
924,196.73182364586341
925,167.52400368970402
926,216.19374229399824
927,203.2109529323344
928,167.4755496275356
929,157.4870116513455
930,176.92888683797887
931,186.8801996874654
932,177.51106769309376
933,151.07762865602524
934,193.19544074696412
935,183.87964676716547
936,173.93225331652377
937,154.70086234449434
938,177.5032062542613
939,157.54102616415332
940,171.15909200920208
941,154.73642637694672
942,193.31138548919094
943,189.64371456253025
944,151.18672945029527
945,183.36712298367928
946,144.69493899402673
947,193.354958934667
948,170.32699431562196
949,163.98878358741334
950,177.4690845105638
951,154.7491580191154
952,163.97507817287297
953,196.67786215509386
954,171.13538468931466
955,167.52956979977705
956,180.4830623379718
957,209.68692185568176
958,163.85958052783647
959,161.10930175867506
960,171.16738558999947
961,203.26041036433946
962,151.13677521235795
963,203.27358569245357
964,193.35018696198716
965,161.1342270864132
966,171.0984879552156
967,154.7153402103064
968,196.7946015935452
969,157.47971083122547
970,186.7517467102174
971,161.14180674985872
972,144.71429894657183
973,171.10980667619202
974,183.2929751903795
975,183.2272119714132
976,183.33176318177007
977,171.13302295161898
978,186.70441879951161
979,196.82601180233058
980,196.89036861485206
981,170.34099702252826
982,183.8666897395466
983,171.06890463200023
984,209.74192375626998
985,189.7709791852675
986,167.47592150639846
987,144.73231222062594
988,186.769656919728
989,177.4790248409036
990,170.37782859473563
991,216.113014416159
992,167.4915182333463
993,167.5366988023504
994,151.06961256657854
995,161.09818513319874
996,183.86032890538036
997,161.1473057295919
998,183.87554638799168
999,193.33171080142884
1000,177.47703912759496
